Community Index,Community Size,Term,Overlap,Adjusted P-value,Category,Gene_set,P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Overlap (value)
1,1031,"mRNA Splicing, Via Spliceosome (GO:0000398)",98/211,1.931444639171001e-66,cellular process,GO_Biological_Process_2023,3.2829087351348446e-69,0.0,0.0,17.527321704654316,2763.8770774237005,DBR1;GEMIN2;HNRNPU;HNRNPR;CASC3;CWC27;PNN;SNRPD2;SNRPD1;MAGOH;SNRPD3;SNRNP35;TXNL4A;IK;METTL3;CDC40;SRRM1;WDR77;PRPF4;PRPF6;DDX39B;CLNS1A;PRPF3;SRSF2;GEMIN5;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SRSF4;SRSF6;SRSF7;SRSF8;SRSF9;DHX8;RBM8A;YTHDC1;DDX1;CWF19L2;SNU13;C9ORF78;HTATSF1;RNPC3;PRPF8;DHX35;RBM10;ZRSR2;PRPF38A;MAGOHB;LSM3;HNRNPM;LSM8;HNRNPK;CWF19L1;RNPS1;HNRNPC;PPWD1;SYNCRIP;SART3;RSRC1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM14;BUD31;RBM19;CENATAC;PRPF40A;TFIP11;GCFC2;SCNM1;SDE2;HNRNPH3;SF3B5;SF3B2;SF3B3;DDX23;SRSF1;WBP4;U2AF1;U2AF2;TRA2B;TRA2A;HNRNPA1;SF3B1;SF3A3;SF3A1;HNRNPA3;GPKOW;CDC5L;SNRNP40;PHF5A;MFAP1;HNRNPA2B1;PPIL3,0.46445497630331756
1,1031,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",92/180,7.059510159099156e-67,cellular process,GO_Biological_Process_2023,7.999444939489129e-70,0.0,0.0,21.021541291509344,3344.5605250185044,DBR1;HNRNPU;PPWD1;HNRNPR;CASC3;CWC27;PNN;SYNCRIP;SART3;SNRPD2;SNRPD1;RSRC1;SNRNP70;MAGOH;DHX15;SNRPD3;SNRNP35;TXNL4A;BCAS2;CTNNBL1;RBM5;IK;RBM14;BUD31;METTL3;RBM19;CENATAC;PRPF40A;TFIP11;CDC40;SRRM1;PRPF4;GCFC2;PRPF6;DDX39B;PRPF3;SRSF2;GEMIN5;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SRSF4;HNRNPH3;SRSF6;SRSF7;SRSF8;SRSF9;SF3B5;SF3B2;SF3B3;DHX8;RBM8A;YTHDC1;DDX23;SRSF1;WBP4;CWF19L2;SNU13;U2AF1;C9ORF78;HTATSF1;RNPC3;PRPF8;U2AF2;DHX35;TRA2B;TRA2A;HNRNPA1;SF3B1;RBM10;SF3A3;ZRSR2;HNRNPA3;SF3A1;PRPF38A;GPKOW;CDC5L;MAGOHB;LSM3;HNRNPM;LSM8;SNRNP40;HNRNPK;PHF5A;MFAP1;CWF19L1;HNRNPA2B1;RNPS1;HNRNPC;PPIL3,0.5111111111111111
1,1031,mRNA Processing (GO:0006397),100/214,1.0483998436040916e-67,cellular process,GO_Biological_Process_2023,5.939942456680406e-71,0.0,0.0,17.765277856294873,2872.6781557881054,DBR1;GEMIN2;HNRNPU;HNRNPR;CASC3;CWC27;PNN;SNRPD2;SNRPD1;MAGOH;PAPOLA;SNRPD3;SNRNP35;TXNL4A;IK;METTL3;FBXO11;CDC40;SRRM1;PRPF4;PRPF6;DDX39B;PRPF3;SRSF2;GEMIN5;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SRSF4;SRSF6;SRSF7;SRSF8;SRSF9;DHX8;RBM8A;YTHDC1;CWF19L2;SNU13;C9ORF78;HTATSF1;RNPC3;PRPF8;DHX35;RPRD1A;RBM10;ZRSR2;PRPF38A;MAGOHB;LSM3;HNRNPM;LSM8;HNRNPK;CWF19L1;RNPS1;HNRNPC;PPWD1;SYNCRIP;SART3;RSRC1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM14;BUD31;RBM19;CENATAC;PRPF40A;TFIP11;GCFC2;PRPF18;HNRNPH3;SF3B5;SF3B2;SF3B3;DDX23;SRSF1;WBP4;U2AF1;TBRG4;U2AF2;TRA2B;TRA2A;HNRNPA1;SF3B1;HNRNPA0;SF3A3;SF3A1;HNRNPA3;GPKOW;CDC5L;NUDT21;SNRNP40;PHF5A;MFAP1;HNRNPA2B1;PPIL3,0.4672897196261682
1,1031,RNA Splicing (GO:0008380),49/98,1.1637149611845362e-34,cellular process,GO_Biological_Process_2023,5.9339573091562754e-37,0.0,0.0,19.266802443991853,1607.139499574359,DBR1;GEMIN2;SYNCRIP;SNRPD2;SNRPD1;RSRC1;MAGOH;DHX15;SNRPD3;SNRNP35;TXNL4A;BCAS2;SRRM1;PRPF4;PRPF6;PRPF18;SCNM1;DDX39B;PRPF3;SRSF2;LUC7L3;SRSF4;HNRNPH3;SRSF7;SF3B2;SF3B3;DHX8;RBM8A;DDX23;WBP4;U2AF1;RNPC3;PRPF8;TRA2B;SF3B1;SMNDC1;SF3A3;ZRSR2;FUS;YJU2;LSM1;USB1;MAGOHB;SNRNP40;MPHOSPH10;RNPS1;SNRNP48;HNRNPC;TARDBP,0.5
1,1031,U2-type Precatalytic Spliceosome (GO:0071005),25/49,1.6411879247016324e-18,protein-containing complex,GO_Cellular_Component_2023,9.28974297000924e-20,0.0,0.0,19.61667495029821,859.6574459679297,SF3B5;SF3B2;SF3B3;WBP4;SNU13;CWC27;PRPF8;SNRPD2;SNRPD1;SNRPD3;TXNL4A;SF3B1;SF3A3;IK;SF3A1;PRPF38A;MAGOHB;LSM3;PRPF4;LSM8;PRPF6;PHF5A;MFAP1;PRPF3;SNRPE,0.5102040816326531
1,1031,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),173/1195,6.904773407349544e-35,cellular anatomical structure,GO_Cellular_Component_2023,9.770905765117278e-37,0.0,0.0,3.540786838732044,293.58872872510864,POP5;ZNF330;ZNF692;POP1;GEMIN2;RRP1;FCF1;GPATCH4;HNRNPR;NUCKS1;PWP1;RRP9;FBL;ZNF207;SNRNP35;ABT1;DDX18;RARS1;DIMT1;METTL1;NGDN;DNTTIP1;RECQL;DNTTIP2;SETMAR;WDR75;FBXO11;ILF2;MIF4GD;GTPBP4;FTSJ3;EBNA1BP2;ILF3;SUB1;MORF4L2;GRWD1;MRTO4;CCDC86;PKP4;SRSF9;UTP25;DCUN1D5;UTP23;NOP2;NOLC1;SNU13;NMD3;MRPL13;MACROH2A1;RRP7A;EMG1;DHX33;PDCD11;ERI1;OARD1;RRS1;EIF4EBP2;UTP20;SAC3D1;MDN1;GCN1;ZNF146;ZNF300;NAA50;NOP14;NOP16;FUS;PNO1;UPF3B;UPF3A;PA2G4;TBCA;PUM3;RCL1;TBL3;CAPRIN1;C6ORF89;RIOX2;MPHOSPH10;PIN4;NOL11;ANP32B;NOL12;RBM28;TOP2B;MRPS15;NVL;CDCA7L;PAK1IP1;WDR3;MRPS12;HP1BP3;NAT10;WDR46;WDR43;MRPL40;SERP1;SFR1;XPO6;UBXN8;RRP12;RBM34;UTP14A;UTP14C;UTP15;WDR36;MRPS27;ACTR6;NSUN2;MARS1;RBM19;TFIP11;EDF1;URB2;URB1;MRPS7;GNL2;UTP18;GNL3;GON7;GCFC2;DNAJC2;RCN2;C1D;FAM32A;EEF1E1;ZNF593;DDX27;SF3B3;NUFIP1;NIP7;MAK16;HEATR1;DDX23;MRPS31;NOL7;KATNB1;DDX21;NOL8;NOL6;EXOSC10;TCOF1;PNMA1;PES1;BMS1;ZNF506;TRA2A;BEND3;METTL5;HNRNPA1;SF3B1;DCAF13;NOP56;ARFGEF1;UTP6;NOP58;UTP4;NAA10;NIFK;UTP3;KRR1;MTX2;NOC3L;RRP1B;NPM3;WDR12;LRPPRC;BOP1;KLHL7;TSR1;CIAPIN1;TARDBP;MPHOSPH6,0.14476987447698744
1,1031,Regulation Of RNA Splicing (GO:0043484),26/102,4.176968788924234e-10,biological regulation,GO_Biological_Process_2023,7.099663663893882e-12,0.0,0.0,6.431238544121498,165.0961555521328,SF3B5;ENY2;SF3B3;YTHDC1;SRSF1;HNRNPLL;SNRNP70;U2AF2;TRA2B;METTL4;SUPT20H;RBM12;METTL16;HNRNPA1;RBM39;FUS;LARP7;RRP1B;SRRM1;HNRNPL;HNRNPK;SRSF3;HNRNPH2;HNRNPH3;GRSF1;FAM50A,0.2549019607843137
1,1031,Protein Targeting To Mitochondrion (GO:0006626),21/59,3.867549859836808e-11,localization,GO_Biological_Process_2023,5.916365224679537e-13,0.0,0.0,10.358285565398646,291.6466861025708,MIPEP;DNAJC19;TIMM8B;TIMM8A;TIMM29;MTX2;TIMM9;PAM16;TOMM34;TIMM13;TIMM23;TIMM22;TIMM10;TOMM20;GDAP1;HSPD1;IMMP1L;SAMM50;GRPEL1;TIMM17A;TIMM17B,0.3559322033898305
1,1031,RNA Export From Nucleus (GO:0006405),22/65,3.702256204387864e-11,localization,GO_Biological_Process_2023,5.453748516378723e-13,0.0,0.0,9.596699472192132,270.9849111369491,UPF2;FYTTD1;CHTOP;NXT1;RBM8A;YTHDC1;THOC1;CASC3;THOC2;SMG7;THOC5;MAGOHB;THOC7;THOC6;DDX19B;DDX39B;SARNP;MAGOH;HNRNPA2B1;SRSF3;NCBP3;HNRNPA1,0.3384615384615385
1,1031,mRNA Transport (GO:0051028),21/58,2.8262630681433464e-11,localization,GO_Biological_Process_2023,4.003205478956582e-13,0.0,0.0,10.638801177415038,303.7006526993736,UPF2;FYTTD1;CHTOP;NXT1;RBM8A;YTHDC1;THOC1;CASC3;THOC2;SMG7;THOC5;MAGOHB;THOC7;THOC6;DDX19B;DDX39B;SARNP;MAGOH;HNRNPA2B1;SRSF3;NCBP3,0.3620689655172414
1,1031,Spliceosomal tri-snRNP Complex (GO:0097526),17/36,4.769961446330918e-12,protein-containing complex,GO_Cellular_Component_2023,3.824969084321962e-13,0.0,0.0,16.7211668223814,478.0925352314064,DDX23;SNU13;PRPF8;LSM3;LSM8;PRPF4;SNRNP40;PRPF18;PRPF6;SNRPD2;SNRPD1;PRPF3;SNRNP27;PPIH;SNRPE;SNRPD3;TXNL4A,0.4722222222222222
